item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0329,2,9751.51,10,17552.72
ITEM00002,TXN00001,PROD0088,1,3620.42,15,3077.36
ITEM00003,TXN00001,PROD0466,1,1547.89,0,1547.89
ITEM00004,TXN00002,PROD0366,1,5175.36,5,4916.59
ITEM00005,TXN00002,PROD0485,2,9899.66,0,19799.32
ITEM00006,TXN00002,PROD0086,1,503.12,5,477.96
ITEM00007,TXN00003,PROD0489,3,3006.38,0,9019.14
ITEM00008,TXN00003,PROD0078,1,4645.73,0,4645.73
ITEM00009,TXN00004,PROD0050,1,1409.31,10,1268.38
ITEM00010,TXN00004,PROD0490,3,7867.87,5,22423.43
ITEM00011,TXN00004,PROD0074,1,2297.03,0,2297.03
ITEM00012,TXN00004,PROD0279,3,489.65,5,1395.5
ITEM00013,TXN00005,PROD0256,1,1554.13,10,1398.72
ITEM00014,TXN00005,PROD0372,3,5139.71,5,14648.17
ITEM00015,TXN00005,PROD0286,3,1423.75,15,3630.56
ITEM00016,TXN00006,PROD0202,1,2345.95,0,2345.95
ITEM00017,TXN00006,PROD0093,1,5154.24,15,4381.1
ITEM00018,TXN00006,PROD0044,1,7576.98,15,6440.43
ITEM00019,TXN00006,PROD0458,1,2420.64,0,2420.64
ITEM00020,TXN00006,PROD0042,1,4632.98,0,4632.98
ITEM00021,TXN00007,PROD0155,2,6076.79,10,10938.22
ITEM00022,TXN00007,PROD0355,2,1811.82,5,3442.46
ITEM00023,TXN00007,PROD0431,1,3833.38,0,3833.38
ITEM00024,TXN00007,PROD0250,3,2873.19,15,7326.63
ITEM00025,TXN00008,PROD0119,1,17333.23,0,17333.23
ITEM00026,TXN00008,PROD0233,2,1239.41,5,2354.88
ITEM00027,TXN00008,PROD0152,1,37940.48,5,36043.46
ITEM00028,TXN00009,PROD0117,2,41251.35,5,78377.56
ITEM00029,TXN00009,PROD0170,3,3219.71,5,9176.17
ITEM00030,TXN00010,PROD0271,1,9061.8,5,8608.71
ITEM00031,TXN00010,PROD0175,1,9109.64,0,9109.64
ITEM00032,TXN00010,PROD0192,3,5246.52,15,13378.63
ITEM00033,TXN00010,PROD0417,1,2721.98,10,2449.78
ITEM00034,TXN00010,PROD0202,1,2345.95,15,1994.06
ITEM00035,TXN00011,PROD0141,2,2955.42,10,5319.76
ITEM00036,TXN00011,PROD0359,2,4353.43,15,7400.83
ITEM00037,TXN00012,PROD0079,3,9471.89,5,26994.89
ITEM00038,TXN00012,PROD0069,1,1838.01,5,1746.11
ITEM00039,TXN00012,PROD0360,1,9632.89,10,8669.6
ITEM00040,TXN00012,PROD0290,2,2650.36,0,5300.72
ITEM00041,TXN00012,PROD0023,2,2868.61,5,5450.36
ITEM00042,TXN00013,PROD0157,1,812.98,10,731.68
